field_id,source_model,field_name,field_display_name_ja,target_model,relation_table,relation_column1,relation_column2,field_state,field_class_initial
6366,res.users,duplicate_bank_partner_ids,重複銀行口座のある取引先,res.partner,,,,base,SF
1280,res.users,group_ids,グループ,res.groups,res_groups_users_rel,uid,gid,base,SF
2916,res.users,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
2900,res.users,role_ids,ユーザ役割,res.role,res_role_res_users_rel,res_users_id,res_role_id,base,SF
6853,sale.advance.payment.inv,sale_order_ids,販売オーダ,sale.order,sale_advance_payment_inv_sale_order_rel,sale_advance_payment_inv_id,sale_order_id,base,SF
6807,sale.mass.cancel.orders,sale_order_ids,キャンセルする販売オーダ,sale.order,sale_order_mass_cancel_wizard_rel,sale_mass_cancel_orders_id,sale_order_id,base,SF
6661,sale.order,authorized_transaction_ids,承認された取引,payment.transaction,,,,base,SF
6974,sale.order,available_quotation_document_ids,利用可能見積ドキュメント,quotation.document,,,,base,SF
6668,sale.order,duplicated_order_ids,複製されたオーダ,sale.order,,,,base,SF
6657,sale.order,invoice_ids,請求書,account.move,,,,base,SF
6605,sale.order,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
9022,sale.order,mrp_production_ids,この販売オーダに関連した製造オーダ,mrp.production,,,,base,SF
6976,sale.order,quotation_document_ids,ヘッダー/フッター,quotation.document,quotation_document_sale_order_rel,sale_order_id,quotation_document_id,base,SF
8995,sale.order,stock_reference_ids,参照,stock.reference,stock_reference_sale_rel,sale_id,reference_id,base,SF
6664,sale.order,tag_ids,タグ,crm.tag,sale_order_tag_rel,order_id,tag_id,base,SF
6660,sale.order,transaction_ids,取引,payment.transaction,sale_order_transaction_rel,sale_order_id,transaction_id,base,SF
6710,sale.order.line,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
6978,sale.order.line,available_product_document_ids,利用可能プロダクトドキュメント,product.document,,,,base,SF
6687,sale.order.line,distribution_analytic_account_ids,分配分析勘定,account.analytic.account,,,,base,SF
6735,sale.order.line,invoice_lines,請求明細,account.move.line,sale_order_line_invoice_rel,order_line_id,invoice_line_id,base,SF
6979,sale.order.line,product_document_ids,プロダクトドキュメント,product.document,sale_order_line_product_document_rel,sale_order_line_id,product_document_id,base,SF
6704,sale.order.line,product_no_variant_attribute_value_ids,追加の値,product.template.attribute.value,product_template_attribute_value_sale_order_line_rel,sale_order_line_id,product_template_attribute_value_id,base,SF
6702,sale.order.line,product_template_attribute_value_ids,属性値,product.template.attribute.value,,,,base,SF
